ID,Timestamp,Type,Amount,Balance
11,2025-11-28T04:10:01.471811,profit,25730.261527997674,34950.45515216267
10,2025-11-28T04:09:55.260264,profit,6756.378624165,9305.193624165
9,2025-11-28T04:09:52.180756,profit,1877.3749999999998,2633.8149999999996
8,2025-11-28T04:09:49.802342,profit,573.44,841.44
7,2025-11-28T04:09:47.658100,profit,168.00000000000003,268.0
6,2025-11-28T04:08:58.911531,profit,168.00000000000003,268.0
5,2025-11-28T04:06:55.702443,profit,16710.25583757599,23344.93802742599
4,2025-11-28T04:06:50.756449,profit,4739.63218985,6719.68218985
3,2025-11-28T04:06:47.876429,profit,1426.55,2065.05
2,2025-11-28T04:06:45.523598,profit,473.5,723.5
1,2025-11-28T04:06:43.349489,profit,150.0,250.0
